model,room_id,property_group,image_file,image_path,human_label,model_prediction,outcome,primary_subtype,evidence_tags,p_not_clean,human_reason
v1_frozen_136,B41 C double common,B41,IMG_20260918_111013.jpg,B41 C double common/Kitchen/IMG_20260918_111013.jpg,CLEAN,CLEAN,correct,clean,garbage_debris|scattered_clothes,0.002428,"Clothes on a drying stand beside the doors are normal use, not a cleanliness problem; floor clean with no waste."
v1_frozen_136,B41 C double common,B41,B 41 C  double common.jpg,B41 C double common/B 41 C  double common.jpg,NOT_CLEAN,CLEAN,false_negative,garbage_debris,garbage_debris,0.003156,"White paper debris lies on the floor tiles near the door, so the floor is not clean; cloth over a chair and bucket on the floor."
v1_frozen_136,B41 C double common,B41,IMG_20260918_111123.jpg,B41 C double common/IMG_20260918_111123.jpg,CLEAN,CLEAN,correct,clean,bedding|garbage_debris,0.001289,"Wardrobe, umbrella opened to dry and bed with bedcover; no housekeeping dirt or waste visible."
v1_frozen_136,B41 C double common,B41,IMG_20260918_111127.jpg,B41 C double common/IMG_20260918_111127.jpg,CLEAN,CLEAN,correct,clean,bedding|dirty_floor_surface|garbage_debris|scattered_clothes,0.001058,"Bedcover left rumpled with two garments on it and clothes hanging on wall hooks; no waste, residue or floor dirt visible - normal belongings."
v1_frozen_136,B41 C double common,B41,IMG_20260918_111131.jpg,B41 C double common/IMG_20260918_111131.jpg,NOT_CLEAN,NOT_CLEAN,correct,dirty_floor_or_surface,books_bottles_personal|dirty_floor_surface|scattered_bags|scattered_clothes,0.313369,"Table crowded with bottles, packets and paper bags; clothes heaped on the bed and spilling onto the floor with a backpack among them."
v1_frozen_136,B41 C double common,B41,IMG_20260918_111134.jpg,B41 C double common/IMG_20260918_111134.jpg,NOT_CLEAN,CLEAN,false_negative,belongings_unorganized_floor_clean,scattered_clothes,0.021688,Bed covered by a pile of loose clothes with more items stacked on the side table.
v1_frozen_136,B41 C double common,B41,IMG_20260918_111147.jpg,B41 C double common/IMG_20260918_111147.jpg,NOT_CLEAN,NOT_CLEAN,correct,garbage_debris,garbage_debris,0.117509,A crumpled tissue/paper piece lies on the floor tile - visible waste on the floor; cloths draped over the bed frame and chair.
v1_frozen_136,B41 C double common,B41,IMG_20260918_111209.jpg,B41 C double common/IMG_20260918_111209.jpg,NOT_CLEAN,NOT_CLEAN,correct,belongings_unorganized_floor_clean,books_bottles_personal|scattered_bags|scattered_clothes,0.385636,"Clothes heaped on the bed and dropped on the floor, paper bags and a backpack on the tiles, table crowded with bottles."
v1_frozen_136,B41 C double common,B41,IMG_20260918_111216.jpg,B41 C double common/IMG_20260918_111216.jpg,CLEAN,CLEAN,correct,clean,bedding|garbage_debris|scattered_clothes,0.001526,Clothes hanging on the wall hook and bed with bedcover; no waste or housekeeping dirt visible.
v1_frozen_136,B41 C double common,B41,IMG_20260918_111220.jpg,B41 C double common/IMG_20260918_111220.jpg,NOT_CLEAN,CLEAN,false_negative,garbage_debris,garbage_debris|scattered_clothes,0.000849,"Two white paper/tissue pieces lie on the passage tiles, so the floor is not clean; clothes draped over a stool and chair."
v1_frozen_136,B41 D single attach,B41,B41 D single attach.jpg,B41 D single attach/B41 D single attach.jpg,CLEAN,CLEAN,correct,clean,garbage_debris,0.000655,Tiles clean and shiny with doormat and dustbin in place; no waste.
v1_frozen_136,B41 D single attach,B41,IMG_20260918_111416.jpg,B41 D single attach/IMG_20260918_111416.jpg,CLEAN,CLEAN,correct,clean,scattered_bags,0.012352,Bed neatly covered with a bag and cushion on it; floor clean.
v1_frozen_136,B41 D single attach,B41,IMG_20260918_111425.jpg,B41 D single attach/IMG_20260918_111425.jpg,CLEAN,CLEAN,correct,clean,dirty_floor_surface|garbage_debris,0.001423,Clean reflective floor with dustbin by the balcony door; no debris or stains.
v1_frozen_136,B41 D single attach,B41,IMG_20260918_111442.jpg,B41 D single attach/IMG_20260918_111442.jpg,CLEAN,CLEAN,correct,clean,books_bottles_personal|cables_electronics|garbage_debris,0.005428,Desk with a bottle and charger; floor clear of waste.
v1_frozen_136,B41 D single attach,B41,IMG_20260918_111500.jpg,B41 D single attach/IMG_20260918_111500.jpg,CLEAN,CLEAN,correct,clean,scattered_bags|shoes,0.017596,Suitcase stored on the wardrobe and slippers kept beside it; floor clean.
v1_frozen_136,B41 D single attach,B41,IMG_20260918_111507.jpg,B41 D single attach/IMG_20260918_111507.jpg,CLEAN,CLEAN,correct,clean,bedding|garbage_debris,0.000583,Bed with pillow and folded cloth; no waste visible.
v1_frozen_136,B41 D single attach,B41,IMG_20260918_111517.jpg,B41 D single attach/IMG_20260918_111517.jpg,CLEAN,CLEAN,correct,clean,scattered_bags,0.002544,Backpack and cushion on the covered bed - normal belongings; floor clean.
v1_frozen_136,B41 D single attach,B41,IMG_20260918_111527.jpg,B41 D single attach/IMG_20260918_111527.jpg,CLEAN,CLEAN,correct,clean,garbage_debris,0.00046,Entry area with doormat and dustbin; tiles clean with no litter.
v1_frozen_136,C21 A single common,C21,IMG_20260918_113220.jpg,C21 A single common/IMG_20260918_113220.jpg,NOT_CLEAN,CLEAN,false_negative,garbage_debris,books_bottles_personal|garbage_debris,0.035544,"A crushed empty bottle, a used tissue roll and a wrapper are left lying on the desk - visible waste that has not been cleared."
v1_frozen_136,C21 A single common,C21,IMG_20260918_113224.jpg,C21 A single common/IMG_20260918_113224.jpg,CLEAN,CLEAN,correct,clean,books_bottles_personal|garbage_debris,0.027501,Cabinet with toiletries and bed corner; visible floor clear of waste and debris.
v1_frozen_136,C21 A single common,C21,IMG_20260918_113231.jpg,C21 A single common/IMG_20260918_113231.jpg,CLEAN,NOT_CLEAN,false_positive,clean,bedding|garbage_debris,0.209632,Bed with pillow and bedcover; nothing dirty or discarded visible.
v1_frozen_136,C21 A single common,C21,IMG_20260918_113239.jpg,C21 A single common/IMG_20260918_113239.jpg,CLEAN,NOT_CLEAN,false_positive,clean,bedding|garbage_debris,0.193129,Bed with blanket and chair with towel; visible floor clear of waste.
v1_frozen_136,C21 A single common,C21,IMG_20260918_113243.jpg,C21 A single common/IMG_20260918_113243.jpg,CLEAN,CLEAN,correct,clean,garbage_debris|shoes,0.02938,Doorway with slippers kept at the side; floor clear of litter.
v1_frozen_136,C21 A single common,C21,IMG_20260918_113250.jpg,C21 A single common/IMG_20260918_113250.jpg,NOT_CLEAN,CLEAN,false_negative,garbage_debris,books_bottles_personal|dirty_floor_surface|garbage_debris,0.106724,A dried spill/residue patch and a small lid lie on the floor in the desk corner and an empty bottle with a tissue roll is left on the desk - the corner has not been cleaned.
v1_frozen_136,C21 B double attach,C21,C21 B double attach.jpg,C21 B double attach/C21 B double attach.jpg,CLEAN,CLEAN,correct,clean,scattered_bags,0.014284,Helmet and suitcase stored on the wardrobe; floor clean and clear.
v1_frozen_136,C21 B double attach,C21,IMG_20260918_113357.jpg,C21 B double attach/IMG_20260918_113357.jpg,CLEAN,CLEAN,correct,clean,garbage_debris|scattered_clothes,0.005157,"Clothes on a wall hook, folded clothes on the bed, doormat in place; tiles clean with no waste."
v1_frozen_136,C21 B double attach,C21,IMG_20260918_113400.jpg,C21 B double attach/IMG_20260918_113400.jpg,CLEAN,CLEAN,correct,clean,bedding|garbage_debris|scattered_clothes,0.007326,Two beds with bedding and folded clothes and a rug on the floor; no waste or dirt.
v1_frozen_136,C21 B double attach,C21,IMG_20260918_113408.jpg,C21 B double attach/IMG_20260918_113408.jpg,CLEAN,CLEAN,correct,clean,bedding|packing_material|scattered_clothes,0.007139,"Bed with pillows and clothes, cabinet and box beside it; floor clean."
v1_frozen_136,C21 B double attach,C21,IMG_20260918_113413.jpg,C21 B double attach/IMG_20260918_113413.jpg,CLEAN,CLEAN,correct,clean,books_bottles_personal|scattered_bags,0.011748,"Desk with bottle, bag on the chair, stool stored under the desk."
v1_frozen_136,C21 B double attach,C21,IMG_20260918_113416.jpg,C21 B double attach/IMG_20260918_113416.jpg,CLEAN,CLEAN,correct,clean,garbage_debris,0.002026,Desk and wardrobe in order; floor clean with no debris.
v1_frozen_136,C21 B double attach,C21,IMG_20260918_113422.jpg,C21 B double attach/IMG_20260918_113422.jpg,CLEAN,CLEAN,correct,clean,garbage_debris,0.000306,"Wide view: beds and desk in use, floor clean and free of waste."
v1_frozen_136,C21 B double attach,C21,IMG_20260918_113430.jpg,C21 B double attach/IMG_20260918_113430.jpg,CLEAN,CLEAN,correct,clean,garbage_debris,0.002897,Bathroom doorway; tiles clean and clear of litter.
v1_frozen_136,C21 B double attach,C21,IMG_20260918_113433.jpg,C21 B double attach/IMG_20260918_113433.jpg,CLEAN,CLEAN,correct,clean,garbage_debris,0.077397,"Floor mat by the bed, clean tiles, nothing discarded."
v1_frozen_136,C21 B double attach,C21,IMG_20260918_113438.jpg,C21 B double attach/IMG_20260918_113438.jpg,CLEAN,CLEAN,correct,clean,scattered_clothes,0.002312,Door with doormat and clothes hanging; floor clean.
v1_frozen_136,C21 C double common,C21,IMG_20260918_112605.jpg,C21 C double common/Kitchen/IMG_20260918_112605.jpg,NOT_CLEAN,NOT_CLEAN,correct,kitchen_dirt,dirty_floor_surface|kitchen_dirt,0.737541,The appliance/fridge top is visibly soiled with brown residue and crumbs and has not been wiped; devices standing on it are stained too.
v1_frozen_136,C21 C double common,C21,IMG_20260918_112611.jpg,C21 C double common/Kitchen/IMG_20260918_112611.jpg,CLEAN,NOT_CLEAN,false_positive,clean,dirty_floor_surface|garbage_debris|kitchen_dirt,0.195247,"Kitchen area clean with no visible residue or waste; counter vessels, dustbins and mat are normal household use and the floor is clean."
v1_frozen_136,C21 C double common,C21,IMG_20260918_112616.jpg,C21 C double common/Kitchen/IMG_20260918_112616.jpg,NOT_CLEAN,NOT_CLEAN,correct,kitchen_dirt,dirty_floor_surface|kitchen_dirt,0.98834,"Unwashed vessels - bowl with knife, cooker, plates, pan - left on the counter with visible crumbs and food residue across the slab."
v1_frozen_136,C21 C double common,C21,IMG_20260918_112620.jpg,C21 C double common/Kitchen/IMG_20260918_112620.jpg,CLEAN,CLEAN,correct,clean,garbage_debris|scattered_clothes,0.000922,"Clothes on a drying stand - normal common-area use, not dirt; floor tiles clean with no waste."
v1_frozen_136,C21 C double common,C21,IMG_20260918_112629.jpg,C21 C double common/Kitchen/IMG_20260918_112629.jpg,CLEAN,CLEAN,correct,clean,garbage_debris|shoes,0.002046,"Drying stand, shoe stand and footwear at the doorway; floor clean, nothing discarded."
v1_frozen_136,C21 C double common,C21,IMG_20260918_112638.jpg,C21 C double common/Kitchen/IMG_20260918_112638.jpg,CLEAN,NOT_CLEAN,false_positive,clean,books_bottles_personal|dirty_floor_surface|garbage_debris|kitchen_dirt,0.958435,Sink and counter reasonably clean with bottles and vessels in normal use; no food residue or waste on the floor.
v1_frozen_136,C21 C double common,C21,C21 C double Common.jpg,C21 C double common/C21 C double Common.jpg,CLEAN,CLEAN,correct,clean,garbage_debris,0.010306,Ironing board stored on the wardrobe and jeans over a chair; floor clean with no waste.
v1_frozen_136,C21 C double common,C21,IMG_20260918_112714.jpg,C21 C double common/IMG_20260918_112714.jpg,CLEAN,CLEAN,correct,clean,packing_material,0.008948,"Bed with a storage box, chair and stool in place; tiles clean."
v1_frozen_136,C21 C double common,C21,IMG_20260918_112717.jpg,C21 C double common/IMG_20260918_112717.jpg,CLEAN,CLEAN,correct,clean,garbage_debris|scattered_clothes,0.019374,"Bed and stool with clothes over it; floor clean, no debris."
v1_frozen_136,C21 C double common,C21,IMG_20260918_112720.jpg,C21 C double common/IMG_20260918_112720.jpg,CLEAN,CLEAN,correct,clean,bedding|garbage_debris|packing_material,0.010895,Bed with bedding and box and a side cabinet; no waste visible.
v1_frozen_136,C21 C double common,C21,IMG_20260918_112725.jpg,C21 C double common/IMG_20260918_112725.jpg,CLEAN,CLEAN,correct,clean,books_bottles_personal,0.06243,Two beds with cabinets holding bottles and books; tiles clean.
v1_frozen_136,C21 C double common,C21,IMG_20260918_112727.jpg,C21 C double common/IMG_20260918_112727.jpg,CLEAN,CLEAN,correct,clean,bedding|books_bottles_personal|garbage_debris,0.018892,Bed with bedcover and cabinet with personal items; nothing discarded.
v1_frozen_136,C21 C double common,C21,IMG_20260918_112741.jpg,C21 C double common/IMG_20260918_112741.jpg,CLEAN,CLEAN,correct,clean,bedding|garbage_debris|scattered_clothes,0.024717,Bed with quilt spread on it; no waste or dirt visible.
v1_frozen_136,C21 C double common,C21,IMG_20260918_112745.jpg,C21 C double common/IMG_20260918_112745.jpg,CLEAN,CLEAN,correct,clean,garbage_debris|packing_material,0.119593,"Beds, cabinets and a stored carton; floor clear of litter."
v1_frozen_136,C21 C double common,C21,IMG_20260918_112750.jpg,C21 C double common/IMG_20260918_112750.jpg,CLEAN,CLEAN,correct,clean,scattered_clothes|shoes,0.005947,Bed with folded clothes and footwear kept at the doorway; floor clean.
v1_frozen_136,C21 C double common,C21,IMG_20260918_112755.jpg,C21 C double common/IMG_20260918_112755.jpg,CLEAN,NOT_CLEAN,false_positive,clean,books_bottles_personal|garbage_debris,0.503868,"Desk with bottles and toiletries and a wardrobe; floor clean, no waste."
v1_frozen_136,C21 C double common,C21,IMG_20260918_112759.jpg,C21 C double common/IMG_20260918_112759.jpg,CLEAN,CLEAN,correct,clean,bedding|books_bottles_personal|scattered_bags,0.007777,"Bed with bedcover, cabinet with books and bottles and a paper bag beside it; floor clean."
