room_id,sub_area,image_index,image_file,image_path,final_label,floor_tile_condition,overall_neatness,evidence_reason,maintenance_note,room_final_label,room_confidence,room_evidence_reason
A33 C double common,Room,5,IMG_20260918_105135.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105135.jpg,CLEAN,CLEAN,NEAT,Desks and chairs in place with a cable along the floor; no waste or dirt visible.,,NOT_CLEAN,MEDIUM-HIGH,A large discarded packing cover lies on the floor in two frames - visible waste material. Floors are otherwise clean and belongings reasonably arranged; the bed items are not the reason.
A33 C double common,Room,6,IMG_20260918_105143.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105143.jpg,CLEAN,CLEAN,NEAT,A few clothes on the bed and a weighing scale on the floor; floor clean.,,NOT_CLEAN,MEDIUM-HIGH,A large discarded packing cover lies on the floor in two frames - visible waste material. Floors are otherwise clean and belongings reasonably arranged; the bed items are not the reason.
A33 C double common,Room,7,IMG_20260918_105157.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105157.jpg,NOT_CLEAN,CLEAN,NOT_NEAT,"A large crumpled brown packing cover lies discarded on the floor beside the suitcase - visible waste material, so the area is not clean. Tiles themselves are clean.",,NOT_CLEAN,MEDIUM-HIGH,A large discarded packing cover lies on the floor in two frames - visible waste material. Floors are otherwise clean and belongings reasonably arranged; the bed items are not the reason.
A33 C double common,Room,8,IMG_20260918_105203.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105203.jpg,NOT_CLEAN,CLEAN,NOT_NEAT,Closer view of the same discarded packing cover spread loose across the floor.,,NOT_CLEAN,MEDIUM-HIGH,A large discarded packing cover lies on the floor in two frames - visible waste material. Floors are otherwise clean and belongings reasonably arranged; the bed items are not the reason.
A33 C double common,Room,9,IMG_20260918_105215.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105215.jpg,CLEAN,CLEAN,NEAT,"Cabinet with utensils, clothes on a hook, scale on the floor; no waste or residue.",,NOT_CLEAN,MEDIUM-HIGH,A large discarded packing cover lies on the floor in two frames - visible waste material. Floors are otherwise clean and belongings reasonably arranged; the bed items are not the reason.
A33 C double common,Room,10,IMG_20260918_105219.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105219.jpg,CLEAN,CLEAN,NEAT,Floor clean and clear; clothes hanging behind the door.,,NOT_CLEAN,MEDIUM-HIGH,A large discarded packing cover lies on the floor in two frames - visible waste material. Floors are otherwise clean and belongings reasonably arranged; the bed items are not the reason.
A33 C double common,Room,11,IMG_20260918_105224.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105224.jpg,CLEAN,CLEAN,NEAT,Carton and luggage stored beside the bed; no garbage or dirt visible.,Damp patch on wall - maintenance,NOT_CLEAN,MEDIUM-HIGH,A large discarded packing cover lies on the floor in two frames - visible waste material. Floors are otherwise clean and belongings reasonably arranged; the bed items are not the reason.
A33 C double common,Room,12,IMG_20260918_105241.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105241.jpg,CLEAN,CLEAN,NEAT,"Window wall and doorway; floor clean, nothing discarded.",,NOT_CLEAN,MEDIUM-HIGH,A large discarded packing cover lies on the floor in two frames - visible waste material. Floors are otherwise clean and belongings reasonably arranged; the bed items are not the reason.
A33 C double common,Room,13,IMG_20260918_105245.jpg,D:\data science\CNN\A33 C double common\IMG_20260918_105245.jpg,CLEAN,CLEAN,NEAT,"Wide view: bed made, suitcase on the wardrobe, floor clean.",,NOT_CLEAN,MEDIUM-HIGH,A large discarded packing cover lies on the floor in two frames - visible waste material. Floors are otherwise clean and belongings reasonably arranged; the bed items are not the reason.
A34 A single attach,Room,1,A34 A Single attach.jpg,D:\data science\CNN\A34 A single attach\A34 A Single attach.jpg,CLEAN,CLEAN,NEAT,Bed corner with folded bedding; no waste and the visible floor is clean.,Wall holes and marks - maintenance,CLEAN,HIGH,"Floors clean throughout, no waste or residue; desk, storage and utility corner kept in order."
A34 A single attach,Room,2,IMG_20260918_104319.jpg,D:\data science\CNN\A34 A single attach\IMG_20260918_104319.jpg,CLEAN,CLEAN,NEAT,"Desk, paper bags and stool kept together in the corner; floor clean, no waste.",,CLEAN,HIGH,"Floors clean throughout, no waste or residue; desk, storage and utility corner kept in order."
A34 A single attach,Room,3,IMG_20260918_104324.jpg,D:\data science\CNN\A34 A single attach\IMG_20260918_104324.jpg,CLEAN,CLEAN,NEAT,Large open floor area clean and clear of debris.,,CLEAN,HIGH,"Floors clean throughout, no waste or residue; desk, storage and utility corner kept in order."
A34 A single attach,Room,4,IMG_20260918_104330.jpg,D:\data science\CNN\A34 A single attach\IMG_20260918_104330.jpg,CLEAN,CLEAN,NEAT,Desk with computer and towel folded on the chair; floor clean.,,CLEAN,HIGH,"Floors clean throughout, no waste or residue; desk, storage and utility corner kept in order."
A34 A single attach,Room,5,IMG_20260918_104334.jpg,D:\data science\CNN\A34 A single attach\IMG_20260918_104334.jpg,CLEAN,CLEAN,NEAT,Bed made with a few clothes on it; no waste or residue.,,CLEAN,HIGH,"Floors clean throughout, no waste or residue; desk, storage and utility corner kept in order."
A34 A single attach,Room,6,IMG_20260918_104337.jpg,D:\data science\CNN\A34 A single attach\IMG_20260918_104337.jpg,CLEAN,CLEAN,NEAT,"Bed covered, floor clean, nothing discarded.",,CLEAN,HIGH,"Floors clean throughout, no waste or residue; desk, storage and utility corner kept in order."
A34 A single attach,Room,7,IMG_20260918_104358.jpg,D:\data science\CNN\A34 A single attach\IMG_20260918_104358.jpg,CLEAN,CLEAN,NEAT,Desk in use with a box stored underneath; no debris on the floor.,,CLEAN,HIGH,"Floors clean throughout, no waste or residue; desk, storage and utility corner kept in order."
A34 A single attach,Room,8,IMG_20260918_104414.jpg,D:\data science\CNN\A34 A single attach\IMG_20260918_104414.jpg,CLEAN,CLEAN,NEAT,Doorway with doormat and luggage against the wall; floor clean.,,CLEAN,HIGH,"Floors clean throughout, no waste or residue; desk, storage and utility corner kept in order."
A34 A single attach,Room,9,IMG_20260918_104444.jpg,D:\data science\CNN\A34 A single attach\IMG_20260918_104444.jpg,CLEAN,CLEAN,NEAT,"Utility corner with ironing board, rack and bucket arranged along the wall; floor clean.",,CLEAN,HIGH,"Floors clean throughout, no waste or residue; desk, storage and utility corner kept in order."
A34 A single attach,Room,10,IMG_20260918_104514.jpg,D:\data science\CNN\A34 A single attach\IMG_20260918_104514.jpg,CLEAN,CLEAN,NEAT,Storage corner kept in order; no waste or dirt visible.,,CLEAN,HIGH,"Floors clean throughout, no waste or residue; desk, storage and utility corner kept in order."
A34 B double attach,Room,1,A34 B double attach.jpg,D:\data science\CNN\A34 B double attach\A34 B double attach.jpg,NOT_CLEAN,CLEAN,NOT_NEAT,"Tiles are clean with no housekeeping dirt, but clothes are dumped over a chair and over storage boxes with cartons and a jar crowding the corner - the room looks untidy.",,NOT_CLEAN,HIGH,"Tiles are clean and show no housekeeping dirt, but clothes, shoes, bags and open suitcase contents are scattered across floor, beds and chairs in nine frames, so the room is visibly not maintained."
A34 B double attach,Room,2,IMG_20260918_103815.jpg,D:\data science\CNN\A34 B double attach\IMG_20260918_103815.jpg,NOT_CLEAN,CLEAN,NOT_NEAT,"Tiles clean, but five-plus pairs of shoes and a slipper lie spread across the floor, a yellow bag is dropped on the tiles and clothes are strewn over a bare mattress.",,NOT_CLEAN,HIGH,"Tiles are clean and show no housekeeping dirt, but clothes, shoes, bags and open suitcase contents are scattered across floor, beds and chairs in nine frames, so the room is visibly not maintained."
A34 B double attach,Room,3,IMG_20260918_103820.jpg,D:\data science\CNN\A34 B double attach\IMG_20260918_103820.jpg,NOT_CLEAN,CLEAN,NOT_NEAT,"Clothes heaped over both mattresses, shoes and a bag on the floor, a packet left on the mattress; floor itself clean.",,NOT_CLEAN,HIGH,"Tiles are clean and show no housekeeping dirt, but clothes, shoes, bags and open suitcase contents are scattered across floor, beds and chairs in nine frames, so the room is visibly not maintained."
A34 B double attach,Room,4,IMG_20260918_103827.jpg,D:\data science\CNN\A34 B double attach\IMG_20260918_103827.jpg,NOT_CLEAN,CLEAN,NOT_NEAT,"Clothes and a steel vessel dumped on the chair, slippers loose on the floor, mattress standing across the bathroom doorway.",,NOT_CLEAN,HIGH,"Tiles are clean and show no housekeeping dirt, but clothes, shoes, bags and open suitcase contents are scattered across floor, beds and chairs in nine frames, so the room is visibly not maintained."
A34 B double attach,Room,5,IMG_20260918_103844.jpg,D:\data science\CNN\A34 B double attach\IMG_20260918_103844.jpg,NOT_CLEAN,CLEAN,NOT_NEAT,"A cloth is thrown over the chair and trails onto the floor, with further scattered items and bottles visible in the room beyond.",,NOT_CLEAN,HIGH,"Tiles are clean and show no housekeeping dirt, but clothes, shoes, bags and open suitcase contents are scattered across floor, beds and chairs in nine frames, so the room is visibly not maintained."
A34 B double attach,Room,6,IMG_20260918_103854.jpg,D:\data science\CNN\A34 B double attach\IMG_20260918_103854.jpg,NOT_CLEAN,CLEAN,NOT_NEAT,"Two open suitcases on the floor with contents spilling out, shoes scattered around them, clothes heaped on the mattress.",,NOT_CLEAN,HIGH,"Tiles are clean and show no housekeeping dirt, but clothes, shoes, bags and open suitcase contents are scattered across floor, beds and chairs in nine frames, so the room is visibly not maintained."
A34 B double attach,Room,7,IMG_20260918_103858.jpg,D:\data science\CNN\A34 B double attach\IMG_20260918_103858.jpg,NOT_CLEAN,CLEAN,NOT_NEAT,"Open suitcase tipped onto the floor, yellow bag and slipper on the tiles, clothes across both mattresses.",,NOT_CLEAN,HIGH,"Tiles are clean and show no housekeeping dirt, but clothes, shoes, bags and open suitcase contents are scattered across floor, beds and chairs in nine frames, so the room is visibly not maintained."
A34 B double attach,Room,8,IMG_20260918_104008.jpg,D:\data science\CNN\A34 B double attach\IMG_20260918_104008.jpg,UNCERTAIN,NOT_VISIBLE,NOT_ASSESSABLE,"Only the AC unit, window and wall are shown. No floor, bedding or belongings are visible, so neither housekeeping cleanliness nor neatness can be judged.",,NOT_CLEAN,HIGH,"Tiles are clean and show no housekeeping dirt, but clothes, shoes, bags and open suitcase contents are scattered across floor, beds and chairs in nine frames, so the room is visibly not maintained."
A34 B double attach,Room,9,IMG_20260918_104015.jpg,D:\data science\CNN\A34 B double attach\IMG_20260918_104015.jpg,NOT_CLEAN,CLEAN,NOT_NEAT,Clothes draped over two chairs with a carton and jar on the floor corner; tiles clean but the corner is unarranged.,,NOT_CLEAN,HIGH,"Tiles are clean and show no housekeeping dirt, but clothes, shoes, bags and open suitcase contents are scattered across floor, beds and chairs in nine frames, so the room is visibly not maintained."
A34 B double attach,Room,10,IMG_20260918_104031.jpg,D:\data science\CNN\A34 B double attach\IMG_20260918_104031.jpg,NOT_CLEAN,CLEAN,NOT_NEAT,"Clothes over chairs, open suitcase on the floor, shoes below the bed; the room looks visibly untidy.",,NOT_CLEAN,HIGH,"Tiles are clean and show no housekeeping dirt, but clothes, shoes, bags and open suitcase contents are scattered across floor, beds and chairs in nine frames, so the room is visibly not maintained."
B41 B double attach,Room,1,B41  B Double attach.jpg,D:\data science\CNN\B41 B double attach\B41  B Double attach.jpg,CLEAN,CLEAN,NEAT,"Desk with laptop and bottles, towel on the chair; floor clean and clear of waste.",,CLEAN,MEDIUM-HIGH,"Floors clean and clear, no waste or residue; clothes on beds, shoes under beds and bags on the floor are reasonably placed."
B41 B double attach,Room,2,B41 B double attach. .jpg,D:\data science\CNN\B41 B double attach\B41 B double attach. .jpg,CLEAN,CLEAN,NEAT,"Backpack kept on the floor and footwear on a rack; tiles clean, no debris.",,CLEAN,MEDIUM-HIGH,"Floors clean and clear, no waste or residue; clothes on beds, shoes under beds and bags on the floor are reasonably placed."
B41 B double attach,Room,3,IMG_20260918_111705.jpg,D:\data science\CNN\B41 B double attach\IMG_20260918_111705.jpg,CLEAN,CLEAN,NEAT,"Bed with bedding, suitcase beside it and shoes under the bed; no waste or residue.",,CLEAN,MEDIUM-HIGH,"Floors clean and clear, no waste or residue; clothes on beds, shoes under beds and bags on the floor are reasonably placed."
B41 B double attach,Room,4,IMG_20260918_111711.jpg,D:\data science\CNN\B41 B double attach\IMG_20260918_111711.jpg,CLEAN,CLEAN,NEAT,Bedding pulled back and shoes kept under the bed; floor clean.,,CLEAN,MEDIUM-HIGH,"Floors clean and clear, no waste or residue; clothes on beds, shoes under beds and bags on the floor are reasonably placed."
B41 B double attach,Room,5,IMG_20260918_111715.jpg,D:\data science\CNN\B41 B double attach\IMG_20260918_111715.jpg,CLEAN,CLEAN,NEAT,Study corner in use with a towel on the chair; no residue or debris.,,CLEAN,MEDIUM-HIGH,"Floors clean and clear, no waste or residue; clothes on beds, shoes under beds and bags on the floor are reasonably placed."
B41 B double attach,Room,6,IMG_20260918_111718.jpg,D:\data science\CNN\B41 B double attach\IMG_20260918_111718.jpg,CLEAN,CLEAN,NEAT,"Laptop and bottles on the desk, clothes on the bed, slippers at the bedside - reasonably placed.",,CLEAN,MEDIUM-HIGH,"Floors clean and clear, no waste or residue; clothes on beds, shoes under beds and bags on the floor are reasonably placed."
B41 B double attach,Room,7,IMG_20260918_111720.jpg,D:\data science\CNN\B41 B double attach\IMG_20260918_111720.jpg,CLEAN,CLEAN,NEAT,Towel hanging to dry and pillow on the bed; nothing discarded.,,CLEAN,MEDIUM-HIGH,"Floors clean and clear, no waste or residue; clothes on beds, shoes under beds and bags on the floor are reasonably placed."
B41 B double attach,Room,8,IMG_20260918_111728.jpg,D:\data science\CNN\B41 B double attach\IMG_20260918_111728.jpg,CLEAN,CLEAN,NEAT,"Doormat at the door, suitcase and shoes stored beside the bed; floor clean.",,CLEAN,MEDIUM-HIGH,"Floors clean and clear, no waste or residue; clothes on beds, shoes under beds and bags on the floor are reasonably placed."
B41 B double attach,Room,9,IMG_20260918_111733.jpg,D:\data science\CNN\B41 B double attach\IMG_20260918_111733.jpg,CLEAN,CLEAN,NEAT,Wardrobes with containers stored on top; floor clean and clear.,,CLEAN,MEDIUM-HIGH,"Floors clean and clear, no waste or residue; clothes on beds, shoes under beds and bags on the floor are reasonably placed."
B41 B double attach,Room,10,IMG_20260918_111738.jpg,D:\data science\CNN\B41 B double attach\IMG_20260918_111738.jpg,CLEAN,CLEAN,NEAT,"Iron kept on the shelf and clothes hanging; floor clean, no waste.",,CLEAN,MEDIUM-HIGH,"Floors clean and clear, no waste or residue; clothes on beds, shoes under beds and bags on the floor are reasonably placed."
B41 B double attach,Room,11,IMG_20260918_111743.jpg,D:\data science\CNN\B41 B double attach\IMG_20260918_111743.jpg,CLEAN,CLEAN,NEAT,Tiles clean; shoes under the bed and towel on the chair.,,CLEAN,MEDIUM-HIGH,"Floors clean and clear, no waste or residue; clothes on beds, shoes under beds and bags on the floor are reasonably placed."
B41 C double common,Kitchen,1,IMG_20260918_110949.jpg,D:\data science\CNN\B41 C double common\Kitchen\IMG_20260918_110949.jpg,NOT_CLEAN,CLEAN,NOT_NEAT,"Kitchen surfaces show visible dirty conditions: dried spilled residue across the fridge top, a tray and plastic bags of waste left on the counter, and a cloth lying on the floor.",,NOT_CLEAN,HIGH,"Kitchen surfaces show food residue, stains and cloths on the floor; paper debris lies on the room floor in three frames and clothes are heaped over beds and floor. Five frames are genuinely clean and are labelled CLEAN."
B41 C double common,Kitchen,2,IMG_20260918_111002.jpg,D:\data science\CNN\B41 C double common\Kitchen\IMG_20260918_111002.jpg,NOT_CLEAN,CLEAN,NOT_NEAT,Counter slab is stained and greasy along its length with food residue around the induction plate; vessels and jars sit in the residue and a cloth is dropped on the floor by the bin.,,NOT_CLEAN,HIGH,"Kitchen surfaces show food residue, stains and cloths on the floor; paper debris lies on the room floor in three frames and clothes are heaped over beds and floor. Five frames are genuinely clean and are labelled CLEAN."
B41 C double common,Kitchen,3,IMG_20260918_111005.jpg,D:\data science\CNN\B41 C double common\Kitchen\IMG_20260918_111005.jpg,NOT_CLEAN,CLEAN,NOT_NEAT,"Sink and surrounding slab show residue and grime, and a dirty cloth lies on the floor beside the washing machine.",Flaking plaster below the slab - maintenance,NOT_CLEAN,HIGH,"Kitchen surfaces show food residue, stains and cloths on the floor; paper debris lies on the room floor in three frames and clothes are heaped over beds and floor. Five frames are genuinely clean and are labelled CLEAN."
B41 C double common,Kitchen,4,IMG_20260918_111008.jpg,D:\data science\CNN\B41 C double common\Kitchen\IMG_20260918_111008.jpg,CLEAN,CLEAN,NEAT,"Kitchen/utility area is clean with no visible housekeeping dirt or waste; washing machine, shoe rack and clothes on a stool are normal household use.",,NOT_CLEAN,HIGH,"Kitchen surfaces show food residue, stains and cloths on the floor; paper debris lies on the room floor in three frames and clothes are heaped over beds and floor. Five frames are genuinely clean and are labelled CLEAN."
B41 C double common,Kitchen,5,IMG_20260918_111013.jpg,D:\data science\CNN\B41 C double common\Kitchen\IMG_20260918_111013.jpg,CLEAN,CLEAN,NEAT,"Clothes on a drying stand beside the doors are normal use, not a cleanliness problem; floor clean with no waste.",,NOT_CLEAN,HIGH,"Kitchen surfaces show food residue, stains and cloths on the floor; paper debris lies on the room floor in three frames and clothes are heaped over beds and floor. Five frames are genuinely clean and are labelled CLEAN."
B41 C double common,Room,1,B 41 C  double common.jpg,D:\data science\CNN\B41 C double common\B 41 C  double common.jpg,NOT_CLEAN,DIRTY,NOT_NEAT,"White paper debris lies on the floor tiles near the door, so the floor is not clean; cloth over a chair and bucket on the floor.",,NOT_CLEAN,HIGH,"Kitchen surfaces show food residue, stains and cloths on the floor; paper debris lies on the room floor in three frames and clothes are heaped over beds and floor. Five frames are genuinely clean and are labelled CLEAN."
B41 C double common,Room,2,IMG_20260918_111123.jpg,D:\data science\CNN\B41 C double common\IMG_20260918_111123.jpg,CLEAN,CLEAN,NEAT,"Wardrobe, umbrella opened to dry and bed with bedcover; no housekeeping dirt or waste visible.",,NOT_CLEAN,HIGH,"Kitchen surfaces show food residue, stains and cloths on the floor; paper debris lies on the room floor in three frames and clothes are heaped over beds and floor. Five frames are genuinely clean and are labelled CLEAN."
B41 C double common,Room,3,IMG_20260918_111127.jpg,D:\data science\CNN\B41 C double common\IMG_20260918_111127.jpg,CLEAN,NOT_FULLY_VISIBLE,NEAT,"Bedcover left rumpled with two garments on it and clothes hanging on wall hooks; no waste, residue or floor dirt visible - normal belongings.",Damp/peeling wall patch - maintenance,NOT_CLEAN,HIGH,"Kitchen surfaces show food residue, stains and cloths on the floor; paper debris lies on the room floor in three frames and clothes are heaped over beds and floor. Five frames are genuinely clean and are labelled CLEAN."
B41 C double common,Room,4,IMG_20260918_111131.jpg,D:\data science\CNN\B41 C double common\IMG_20260918_111131.jpg,NOT_CLEAN,CLEAN,NOT_NEAT,"Table crowded with bottles, packets and paper bags; clothes heaped on the bed and spilling onto the floor with a backpack among them.",Damp wall patch - maintenance,NOT_CLEAN,HIGH,"Kitchen surfaces show food residue, stains and cloths on the floor; paper debris lies on the room floor in three frames and clothes are heaped over beds and floor. Five frames are genuinely clean and are labelled CLEAN."
B41 C double common,Room,5,IMG_20260918_111134.jpg,D:\data science\CNN\B41 C double common\IMG_20260918_111134.jpg,NOT_CLEAN,CLEAN,NOT_NEAT,Bed covered by a pile of loose clothes with more items stacked on the side table.,Dark damp staining - maintenance,NOT_CLEAN,HIGH,"Kitchen surfaces show food residue, stains and cloths on the floor; paper debris lies on the room floor in three frames and clothes are heaped over beds and floor. Five frames are genuinely clean and are labelled CLEAN."
B41 C double common,Room,6,IMG_20260918_111147.jpg,D:\data science\CNN\B41 C double common\IMG_20260918_111147.jpg,NOT_CLEAN,DIRTY,NOT_NEAT,A crumpled tissue/paper piece lies on the floor tile - visible waste on the floor; cloths draped over the bed frame and chair.,,NOT_CLEAN,HIGH,"Kitchen surfaces show food residue, stains and cloths on the floor; paper debris lies on the room floor in three frames and clothes are heaped over beds and floor. Five frames are genuinely clean and are labelled CLEAN."
B41 C double common,Room,7,IMG_20260918_111209.jpg,D:\data science\CNN\B41 C double common\IMG_20260918_111209.jpg,NOT_CLEAN,CLEAN,NOT_NEAT,"Clothes heaped on the bed and dropped on the floor, paper bags and a backpack on the tiles, table crowded with bottles.",Damp stain - maintenance,NOT_CLEAN,HIGH,"Kitchen surfaces show food residue, stains and cloths on the floor; paper debris lies on the room floor in three frames and clothes are heaped over beds and floor. Five frames are genuinely clean and are labelled CLEAN."
B41 C double common,Room,8,IMG_20260918_111216.jpg,D:\data science\CNN\B41 C double common\IMG_20260918_111216.jpg,CLEAN,NOT_FULLY_VISIBLE,NEAT,Clothes hanging on the wall hook and bed with bedcover; no waste or housekeeping dirt visible.,Large damp/peeling patch - maintenance only,NOT_CLEAN,HIGH,"Kitchen surfaces show food residue, stains and cloths on the floor; paper debris lies on the room floor in three frames and clothes are heaped over beds and floor. Five frames are genuinely clean and are labelled CLEAN."
B41 C double common,Room,9,IMG_20260918_111220.jpg,D:\data science\CNN\B41 C double common\IMG_20260918_111220.jpg,NOT_CLEAN,DIRTY,NOT_NEAT,"Two white paper/tissue pieces lie on the passage tiles, so the floor is not clean; clothes draped over a stool and chair.",,NOT_CLEAN,HIGH,"Kitchen surfaces show food residue, stains and cloths on the floor; paper debris lies on the room floor in three frames and clothes are heaped over beds and floor. Five frames are genuinely clean and are labelled CLEAN."
B41 D single attach,Room,1,B41 D single attach.jpg,D:\data science\CNN\B41 D single attach\B41 D single attach.jpg,CLEAN,CLEAN,NEAT,Tiles clean and shiny with doormat and dustbin in place; no waste.,,CLEAN,HIGH,"Floors clean and reflective, dustbin in place, no waste or residue; belongings reasonably placed."
B41 D single attach,Room,2,IMG_20260918_111416.jpg,D:\data science\CNN\B41 D single attach\IMG_20260918_111416.jpg,CLEAN,CLEAN,NEAT,Bed neatly covered with a bag and cushion on it; floor clean.,,CLEAN,HIGH,"Floors clean and reflective, dustbin in place, no waste or residue; belongings reasonably placed."
B41 D single attach,Room,3,IMG_20260918_111425.jpg,D:\data science\CNN\B41 D single attach\IMG_20260918_111425.jpg,CLEAN,CLEAN,NEAT,Clean reflective floor with dustbin by the balcony door; no debris or stains.,,CLEAN,HIGH,"Floors clean and reflective, dustbin in place, no waste or residue; belongings reasonably placed."
B41 D single attach,Room,4,IMG_20260918_111442.jpg,D:\data science\CNN\B41 D single attach\IMG_20260918_111442.jpg,CLEAN,CLEAN,NEAT,Desk with a bottle and charger; floor clear of waste.,,CLEAN,HIGH,"Floors clean and reflective, dustbin in place, no waste or residue; belongings reasonably placed."
B41 D single attach,Room,5,IMG_20260918_111500.jpg,D:\data science\CNN\B41 D single attach\IMG_20260918_111500.jpg,CLEAN,CLEAN,NEAT,Suitcase stored on the wardrobe and slippers kept beside it; floor clean.,,CLEAN,HIGH,"Floors clean and reflective, dustbin in place, no waste or residue; belongings reasonably placed."
B41 D single attach,Room,6,IMG_20260918_111507.jpg,D:\data science\CNN\B41 D single attach\IMG_20260918_111507.jpg,CLEAN,CLEAN,NEAT,Bed with pillow and folded cloth; no waste visible.,,CLEAN,HIGH,"Floors clean and reflective, dustbin in place, no waste or residue; belongings reasonably placed."
B41 D single attach,Room,7,IMG_20260918_111517.jpg,D:\data science\CNN\B41 D single attach\IMG_20260918_111517.jpg,CLEAN,CLEAN,NEAT,Backpack and cushion on the covered bed - normal belongings; floor clean.,,CLEAN,HIGH,"Floors clean and reflective, dustbin in place, no waste or residue; belongings reasonably placed."
B41 D single attach,Room,8,IMG_20260918_111527.jpg,D:\data science\CNN\B41 D single attach\IMG_20260918_111527.jpg,CLEAN,CLEAN,NEAT,Entry area with doormat and dustbin; tiles clean with no litter.,,CLEAN,HIGH,"Floors clean and reflective, dustbin in place, no waste or residue; belongings reasonably placed."
C21 A single common,Room,1,C21 A single common.jpg,D:\data science\CNN\C21 A single common\C21 A single common.jpg,UNCERTAIN,NOT_FULLY_VISIBLE,NOT_ASSESSABLE,"Mostly curtain, window and wall; too little of the floor or room is shown to judge housekeeping cleanliness or neatness.",Wall marks - maintenance,NOT_CLEAN,LOW-MEDIUM,"A dried spill/residue patch with a small lid lies on the floor in the desk corner, and an empty crushed bottle, used tissue roll and wrapper are left on the desk. Small in scale - least certain room."
